"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
75,20.8286,48.5104,30.14
75,20.8286,48.5501,29.6285
75.5,20.9046,48.5501,29.6285
76,20.98,48.5501,29.6285
76,20.98,48.5501,29.7663
76,20.98,48.5894,29.9366
76.5,21.0555,48.5894,29.9366
77,21.131,48.5894,29.9366
77,21.131,48.5894,29.7823
77,21.131,48.6285,29.6126
77.5,21.1481,48.6285,29.6126
78,21.1632,48.6285,29.6126
78,21.1632,48.6285,30.0099
78,21.1632,48.6672,30.4392
78.5,20.9595,48.6672,30.4392
79,20.7482,48.6672,30.4392
79,20.7482,48.6672,30.9558
79,20.7482,48.7056,31.4827
79.5,20.5222,48.7056,31.4827
80,20.2958,48.7056,31.4827
80,20.2958,48.7056,32.6143
80,20.2958,48.7436,33.806
80.5,19.9818,48.7436,33.806
81,19.6648,48.7436,33.806
81,19.6648,48.7436,34.7584
81,19.6648,48.7813,35.7149
81.5,19.3186,48.7813,35.7149
82,18.9714,48.7813,35.7149
82,18.9714,48.7813,35.8585
82,18.9714,48.8186,35.9555
82.5,18.6388,48.8186,35.9555
83,18.3067,48.8186,35.9555
83,18.3067,48.8186,31.1279
83,18.3067,48.8555,26.5364
83.5,18.4561,48.8555,26.5364
84,18.6221,48.8555,26.5364
84,18.6221,48.8555,26.0526
84,18.6221,48.8921,25.7438
84.5,18.7006,48.8921,25.7438
85,18.7761,48.8921,25.7438
85,18.7761,48.8921,26.0263
85,18.7761,48.9283,26.3372
85.5,18.5744,48.9283,26.3372
86,18.3631,48.9283,26.3372
86,18.3631,48.9283,26.8015
86,18.3631,48.964,27.2781
86.5,18.3852,48.964,27.2781
87,18.4153,48.964,27.2781
87,18.4153,48.964,27.6835
87,18.4153,48.9993,28.0894
87.5,18.2705,48.9993,28.0894
88,18.1195,48.9993,28.0894
88,18.1195,48.9993,28.4994
88,18.1195,49.0341,28.9135
88.5,18.1144,49.0341,28.9135
89,18.1144,49.0333,28.9135
89,18.1144,49.0333,29.0122
89,18.1144,49.0333,29.0957
89.5,18.1144,49.0341,29.0957
90,18.1144,49.0341,29.0957
90,18.1144,49.0609,27.9958
90,18.1144,49.0609,26.8702
90.5,18.1144,48.8203,26.8702
91,18.1144,48.5784,26.8702
91,18.1144,48.5784,25.7025
91,18.1144,48.5784,24.5671
91.5,18.1144,48.3372,24.5671
92,18.1144,48.0971,24.5671
92,18.1144,48.0971,23.0525
92,18.1144,48.0971,21.5863
92.5,18.1144,48.6418,21.5863
93,18.1144,49.061,21.5863
93,18.1144,49.061,20.059
93,18.1144,49.1445,18.6021
93.5,18.129,49.1445,18.6021
94,18.1441,49.1445,18.6021
94,18.1441,49.1445,17.275
94,18.1441,49.1956,16.0152
94.5,18.2468,49.1956,16.0152
95,18.3524,49.1957,16.0152
95,18.3524,49.1957,16.5802
95,18.3524,49.2348,17.215
95.5,20.3049,49.2348,17.215
96,22.4613,49.2348,17.215
96,22.4613,49.2348,17.52
96,22.4613,49.2685,17.8175
96.5,22.5291,49.2685,17.8175
97,22.5121,49.2685,17.8175
97,22.5121,49.2685,17.0269
97,22.5121,49.2992,16.2262
97.5,22.5605,49.2992,16.2262
98,22.6114,49.2971,16.2262
98,22.6114,49.2971,16.312
98,22.6114,49.2971,16.425
98.5,22.597,49.1766,16.425
99,22.58,49.0549,16.425
99,22.58,49.0549,14.5954
99,22.58,49.0549,12.8392
99.5,22.612,49.2735,12.8392
100,22.646,49.2992,12.8392
100,22.646,49.2992,12.6168
100,22.646,49.3347,12.4316
100.5,22.6963,49.3347,12.4316
101,22.7472,49.3347,12.4316
101,22.7472,49.3347,12.4634
101,22.7472,49.359,12.5003
101.5,22.7491,49.359,12.5003
102,22.7491,49.359,12.5003
102,22.7491,49.359,12.7921
102,22.7491,49.3802,13.0936
102.5,22.8798,49.3802,13.0936
103,23.0156,49.3802,13.0936
103,23.0156,49.3802,13.3242
103,23.0156,49.4003,13.5551
