,time,modelA,modelB,modelC
299,2990,3.996342749,3.907009428,3.982671919
300,3000,3.996342749,3.907009428,3.982671919
301,3010,3.996342749,3.907009428,3.982671919
302,3020,3.996342749,3.907009428,3.982671919
303,3030,3.996342749,3.907009428,3.982671919
304,3040,3.996342749,3.907009428,3.982671919
305,3050,3.996342749,3.907009428,3.982671919
306,3060,3.996342749,3.907009428,3.982671919
307,3070,3.996342749,3.907009428,3.982671919
308,3080,3.996342749,3.907009428,3.982671919
309,3090,3.996342749,3.907009428,3.982671919
310,3100,3.996342749,3.907009428,3.982671919
311,3110,3.996342749,3.907009428,3.982671919
312,3120,3.996342749,3.907009428,3.982671919
313,3130,3.996342749,3.907009428,3.982671919
314,3140,3.996342749,3.907009428,3.982671919
315,3150,3.996342749,3.907009428,3.982671919
316,3160,3.996342749,3.907009428,3.982671919
317,3170,3.996342749,3.907009428,3.982671919
318,3180,3.996342749,3.907009428,3.982671919
319,3190,3.996342749,3.907009428,3.982671919
320,3200,3.996342749,3.907009428,3.982671919
321,3210,3.996342749,3.907009428,3.982671919
322,3220,3.996342749,3.907009428,3.982671919
323,3230,3.996342749,3.907009428,3.982671919
324,3240,3.996342749,3.907009428,3.982671919
325,3250,3.996342749,3.907009428,3.982671919
326,3260,3.996342749,3.907009428,3.982671919
327,3270,3.996342749,3.907009428,3.982671919
328,3280,3.996342749,3.907009428,3.982671919
329,3290,3.996342749,3.907009428,3.982671919
330,3300,3.996342749,3.907009428,3.982671919
331,3310,3.996342749,3.907009428,3.982671919
332,3320,3.996342749,3.907009428,3.982671919
333,3330,3.996342749,3.907009428,3.982671919
334,3340,3.996342749,3.907009428,3.982671919
335,3350,3.996342749,3.907009428,3.982671919
336,3360,3.996342749,3.907009428,3.982671919
337,3370,3.996342749,3.907009428,3.982671919
338,3380,3.996342749,3.907009428,3.982671919
339,3390,3.996342749,3.907009428,3.982671919
340,3400,3.996342749,3.907009428,3.982671919
341,3410,3.996342749,3.907009428,3.982671919
342,3420,3.996342749,3.907009428,3.982671919
343,3430,3.996342749,3.907009428,3.982671919
344,3440,3.996342749,3.907009428,3.982671919
345,3450,3.996342749,3.907009428,3.982671919
346,3460,3.996342749,3.907009428,3.982671919
347,3470,3.996342749,3.907009428,3.982671919
348,3480,3.996342749,3.907009428,3.982671919
349,3490,3.996342749,3.907009428,3.982671919
350,3500,3.996342749,3.907009428,3.982671919
351,3510,3.996342749,3.907009428,3.982671919
352,3520,3.996342749,3.907009428,3.982671919
353,3530,3.996342749,3.907009428,3.982671919
354,3540,3.996342749,3.907009428,3.982671919
355,3550,3.996342749,3.907009428,3.982671919
356,3560,3.996342749,3.907009428,3.982671919
357,3570,3.996342749,3.907009428,3.982671919
358,3580,3.996342749,3.907009428,3.982671919
359,3590,3.996342749,3.907009428,3.982671919
360,3600,3.98866034,3.922141078,3.990699855
361,3610,3.98866034,3.922141078,3.990699855
362,3620,3.98866034,3.922141078,3.990699855
363,3630,3.98866034,3.922141078,3.990699855
364,3640,3.98866034,3.922141078,3.990699855
365,3650,3.98866034,3.922141078,3.990699855
366,3660,3.98866034,3.922141078,3.990699855
367,3670,3.98866034,3.922141078,3.990699855
368,3680,3.98866034,3.922141078,3.990699855
369,3690,3.98866034,3.922141078,3.990699855
370,3700,3.98866034,3.922141078,3.990699855
371,3710,3.98866034,3.922141078,3.990699855
372,3720,3.98866034,3.922141078,3.990699855
373,3730,3.98866034,3.922141078,3.990699855
374,3740,3.98866034,3.922141078,3.990699855
375,3750,3.98866034,3.922141078,3.990699855
376,3760,3.98866034,3.922141078,3.990699855
377,3770,3.98866034,3.922141078,3.990699855
378,3780,3.98866034,3.922141078,3.990699855
379,3790,3.98866034,3.922141078,3.990699855
380,3800,3.98866034,3.922141078,3.990699855
381,3810,3.98866034,3.922141078,3.990699855
382,3820,3.98866034,3.922141078,3.990699855
383,3830,3.98866034,3.922141078,3.990699855
384,3840,3.98866034,3.922141078,3.990699855
385,3850,3.98866034,3.922141078,3.990699855
386,3860,3.98866034,3.922141078,3.990699855
387,3870,3.98866034,3.922141078,3.990699855
388,3880,3.98866034,3.922141078,3.990699855
389,3890,3.98866034,3.922141078,3.990699855
390,3900,3.98866034,3.922141078,3.990699855
391,3910,3.98866034,3.922141078,3.990699855
392,3920,3.98866034,3.922141078,3.990699855
393,3930,3.98866034,3.922141078,3.990699855
394,3940,3.98866034,3.922141078,3.990699855
395,3950,3.98866034,3.922141078,3.990699855
396,3960,3.98866034,3.922141078,3.990699855
397,3970,3.98866034,3.922141078,3.990699855
398,3980,3.98866034,3.922141078,3.990699855
399,3990,3.98866034,3.922141078,3.990699855
400,4000,3.98866034,3.922141078,3.990699855
401,4010,3.98866034,3.922141078,3.990699855
402,4020,3.98866034,3.922141078,3.990699855
403,4030,3.98866034,3.922141078,3.990699855
404,4040,3.98866034,3.922141078,3.990699855
405,4050,3.98866034,3.922141078,3.990699855
406,4060,3.98866034,3.922141078,3.990699855
407,4070,3.98866034,3.922141078,3.990699855
408,4080,3.98866034,3.922141078,3.990699855
409,4090,3.98866034,3.922141078,3.990699855
410,4100,3.98866034,3.922141078,3.990699855
411,4110,3.98866034,3.922141078,3.990699855
412,4120,3.98866034,3.922141078,3.990699855
413,4130,3.98866034,3.922141078,3.990699855
414,4140,3.98866034,3.922141078,3.990699855
415,4150,3.98866034,3.922141078,3.990699855
416,4160,3.98866034,3.922141078,3.990699855
417,4170,3.98866034,3.922141078,3.990699855
418,4180,3.98866034,3.922141078,3.990699855
419,4190,3.98866034,3.922141078,3.990699855
420,4200,3.98866034,3.922141078,3.990699855
421,4210,3.98866034,3.922141078,3.990699855
422,4220,3.98866034,3.922141078,3.990699855
423,4230,3.98866034,3.922141078,3.990699855
424,4240,3.98866034,3.922141078,3.990699855
425,4250,3.98866034,3.922141078,3.990699855
426,4260,3.98866034,3.922141078,3.990699855
427,4270,3.98866034,3.922141078,3.990699855
428,4280,3.98866034,3.922141078,3.990699855
429,4290,3.98866034,3.922141078,3.990699855
430,4300,3.98866034,3.922141078,3.990699855
431,4310,3.98866034,3.922141078,3.990699855
432,4320,3.98866034,3.922141078,3.990699855
433,4330,3.98866034,3.922141078,3.990699855
434,4340,3.98866034,3.922141078,3.990699855
435,4350,3.98866034,3.922141078,3.990699855
436,4360,3.98866034,3.922141078,3.990699855
437,4370,3.98866034,3.922141078,3.990699855
438,4380,3.98866034,3.922141078,3.990699855
439,4390,3.98866034,3.922141078,3.990699855
440,4400,3.98866034,3.922141078,3.990699855
441,4410,3.98866034,3.922141078,3.990699855
442,4420,3.98866034,3.922141078,3.990699855
443,4430,3.98866034,3.922141078,3.990699855
444,4440,3.98866034,3.922141078,3.990699855
445,4450,3.98866034,3.922141078,3.990699855
446,4460,3.98866034,3.922141078,3.990699855
447,4470,3.98866034,3.922141078,3.990699855
448,4480,3.98866034,3.922141078,3.990699855
449,4490,3.98866034,3.922141078,3.990699855
450,4500,3.988661175,3.922141909,3.990666083
451,4510,3.988661175,3.922141909,3.990666083
452,4520,3.988661175,3.922141909,3.990666083
453,4530,3.988661175,3.922141909,3.990666083
454,4540,3.988661175,3.922141909,3.990666083
455,4550,3.988661175,3.922141909,3.990666083
456,4560,3.988661175,3.922141909,3.990666083
457,4570,3.988661175,3.922141909,3.990666083
458,4580,3.988661175,3.922141909,3.990666083
459,4590,3.988661175,3.922141909,3.990666083
460,4600,3.988661175,3.922141909,3.990666083
461,4610,3.988661175,3.922141909,3.990666083
462,4620,3.988661175,3.922141909,3.990666083
463,4630,3.988661175,3.922141909,3.990666083
464,4640,3.988661175,3.922141909,3.990666083
465,4650,3.988661175,3.922141909,3.990666083
466,4660,3.988661175,3.922141909,3.990666083
467,4670,3.988661175,3.922141909,3.990666083
468,4680,3.988661175,3.922141909,3.990666083
469,4690,3.988661175,3.922141909,3.990666083
470,4700,3.988661175,3.922141909,3.990666083
471,4710,3.988661175,3.922141909,3.990666083
472,4720,3.988661175,3.922141909,3.990666083
473,4730,3.988661175,3.922141909,3.990666083
474,4740,3.988661175,3.922141909,3.990666083
475,4750,3.988661175,3.922141909,3.990666083
476,4760,3.988661175,3.922141909,3.990666083
477,4770,3.988661175,3.922141909,3.990666083
478,4780,3.988661175,3.922141909,3.990666083
479,4790,3.988661175,3.922141909,3.990666083
480,4800,3.988661175,3.922141909,3.990666083
481,4810,3.988661175,3.922141909,3.990666083
482,4820,3.988661175,3.922141909,3.990666083
483,4830,3.988661175,3.922141909,3.990666083
484,4840,3.988661175,3.922141909,3.990666083
485,4850,3.988661175,3.922141909,3.990666083
486,4860,3.988661175,3.922141909,3.990666083
487,4870,3.988661175,3.922141909,3.990666083
488,4880,3.988661175,3.922141909,3.990666083
489,4890,3.988661175,3.922141909,3.990666083
490,4900,3.988661175,3.922141909,3.990666083
491,4910,3.988661175,3.922141909,3.990666083
492,4920,3.988661175,3.922141909,3.990666083
493,4930,3.988661175,3.922141909,3.990666083
494,4940,3.988661175,3.922141909,3.990666083
495,4950,3.988661175,3.922141909,3.990666083
496,4960,3.988661175,3.922141909,3.990666083
497,4970,3.988661175,3.922141909,3.990666083
498,4980,3.988661175,3.922141909,3.990666083
499,4990,3.988661175,3.922141909,3.990666083
500,5000,3.988661175,3.922141909,3.990666083
501,5010,3.988661175,3.922141909,3.990666083
502,5020,3.988661175,3.922141909,3.990666083
503,5030,3.988661175,3.922141909,3.990666083
504,5040,3.988661175,3.922141909,3.990666083
505,5050,3.988661175,3.922141909,3.990666083
506,5060,3.988661175,3.922141909,3.990666083
507,5070,3.988661175,3.922141909,3.990666083
508,5080,3.988661175,3.922141909,3.990666083
509,5090,3.988661175,3.922141909,3.990666083
510,5100,3.988661175,3.922141909,3.990666083
511,5110,3.988661175,3.922141909,3.990666083
512,5120,3.988661175,3.922141909,3.990666083
513,5130,3.988661175,3.922141909,3.990666083
514,5140,3.988661175,3.922141909,3.990666083
