"time","hp2.Pelec"
54.25,48.1454
54.5,47.6669
54.75,47.1918
55,46.7205
55,46.7205
55,46.7205
55.25,45.6961
55.5,44.606
55.75,43.5349
56,42.4829
56,42.4829
56,42.4829
56.25,41.7341
56.5,41.0344
56.75,40.3433
57,39.6606
57,39.6606
57,39.6606
57.25,38.5769
57.5,37.4621
57.75,36.3706
58,35.3021
58,35.3021
58,35.3021
58.25,35.7045
58.5,36.287
58.75,36.8763
59,37.4724
59,37.4724
59,37.4724
59.25,36.5673
59.5,35.4946
59.75,34.4446
60,33.417
60,33.417
60,33.417
60.25,32.9015
60.5,32.4473
60.75,31.9975
61,31.5522
61,31.5522
61,31.5522
61.25,31.8288
61.5,32.1863
61.75,32.5465
62,32.9096
62,32.9096
62,32.9096
62.25,32.4157
62.5,31.832
62.75,31.2559
63,30.6872
63,30.6872
63,30.6872
63.25,30.3982
63.5,30.14
63.75,29.8834
64,29.6285
64,29.6285
64,29.6285
64.25,29.6814
64.5,29.7663
64.75,29.8514
65,29.9366
65,29.9366
65,29.9366
65.25,29.8674
65.5,29.7823
65.75,29.6973
66,29.6126
66,29.6126
66,29.6126
66.25,29.7968
66.5,30.0099
66.75,30.224
67,30.4392
67,30.4392
67,30.4392
67.25,30.6947
67.5,30.9558
67.75,31.2185
68,31.4827
68,31.4827
68,31.4827
68.25,32.0297
68.5,32.6143
68.75,33.2064
69,33.806
69,33.806
69,33.806
69.25,34.2872
69.5,34.7584
69.75,35.2343
70,35.7149
70,35.7149
70,35.7149
70.25,35.81
70.5,35.8585
70.75,35.907
71,35.9555
71,35.9555
71,35.9555
71.25,33.621
71.5,31.1279
71.75,28.7681
72,26.5364
72,26.5364
72,26.5364
72.25,26.208
72.5,26.0526
72.75,25.8979
73,25.7438
73,25.7438
73,25.7438
73.25,25.8719
73.5,26.0263
73.75,26.1815
74,26.3372
74,26.3372
74,26.3372
74.25,26.5653
74.5,26.8015
74.75,27.0391
75,27.2781
75,27.2781
75,27.2781
75.25,27.4821
75.5,27.6835
75.75,27.8859
76,28.0894
76,28.0894
76,28.0894
76.25,28.2939
76.5,28.4994
76.75,28.7059
77,28.9135
77,28.9135
77,28.9135
77.25,28.9705
77.5,29.0122
77.75,29.054
78,29.0957
78,29.0957
78,29.0957
78.25,28.5707
78.5,27.9958
78.75,27.429
79,26.8702
79,26.8702
79,26.8702
79.25,26.2836
79.5,25.7025
79.75,25.1304
80,24.5671
80,24.5671
80,24.5671
80.25,23.8105
80.5,23.0525
80.75,22.3112
81,21.5863
81,21.5863
81,21.5863
81.25,20.8156
81.5,20.059
81.75,19.3213
82,18.6021
82,18.6021
82,18.6021
82.25,17.9293
82.5,17.275
82.75,16.6371
83,16.0152
83,16.0152
83,16.0152
83.25,16.2688
83.5,16.5802
83.75,16.8956
84,17.215
84,17.215
84,17.215
84.25,17.3725
84.5,17.52
84.75,17.6683
85,17.8175
85,17.8175
85,17.8175
85.25,17.437
85.5,17.0269
85.75,16.6232
86,16.2262
86,16.2262
86,16.2262
86.25,16.2557
86.5,16.312
86.75,16.3685
87,16.425
87,16.425
87,16.425
87.25,15.5242
87.5,14.5954
87.75,13.7005
88,12.8392
88,12.8392
88,12.8392
88.25,12.71
88.5,12.6168
88.75,12.524
89,12.4316
89,12.4316
89,12.4316
89.25,12.4449
89.5,12.4634
89.75,12.4819
90,12.5003
90,12.5003
90,12.5003
90.25,12.6427
90.5,12.7921
90.75,12.9424
91,13.0936
91,13.0936
91,13.0936
91.25,13.2096
91.5,13.3242
91.75,13.4394
92,13.5551
92,13.5551
92,13.5551
92.25,13.7082
92.5,13.8643
92.75,14.0213
93,14.1792
93,14.1792
93,14.1792
93.25,14.4761
93.5,14.7842
93.75,15.096
94,15.4113
94,15.4113
94,15.4113
94.25,15.6093
94.5,15.8017
94.75,15.9956
95,16.1911
95,16.1911
95,16.1911
95.25,17.7212
95.5,19.4366
95.75,21.2603
96,23.1963
96,23.1963
96,23.1963
96.25,23.319
96.5,23.2831
96.75,23.2473
97,23.2115
97,23.2115
97,23.2115
97.25,23.3078
97.5,23.4157
97.75,23.5238
98,23.6323
98,23.6323
98,23.6323
98.25,23.6075
98.5,23.5713
98.75,23.5352
99,23.4992
99,23.4992
99,23.4992
99.25,23.5628
99.5,23.6352
99.75,23.7077
100,23.7804
100,23.7804
100,23.7804
100.25,23.8869
100.5,23.9965
100.75,24.1065
101,24.2168
101,24.2168
101,24.2168
101.25,24.2257
101.5,24.2257
101.75,24.2257
102,24.2257
102,24.2257
102,24.2257
102.25,24.4977
102.5,24.7958
102.75,25.0964
103,25.3995
103,25.3995
103,25.3995
103.25,25.1117
103.5,24.773
103.75,24.4374
104,24.1051
104,24.1051
104,24.1051
104.25,23.8765
104.5,23.6581
104.75,23.4411
105,23.2254
105,23.2254
105,23.2254
105.25,23.044
105.5,22.8663
105.75,22.6895
106,22.5139
106,22.5139
106,22.5139
106.25,22.21
106.5,21.8986
106.75,21.5902
107,21.2848
107,21.2848
107,21.2848
107.25,21.1689
107.5,21.0682
107.75,20.9678
108,20.8677
108,20.8677
108,20.8677
108.25,21.7043
108.5,22.6388
108.75,23.6002
109,24.5891
109,24.5891
109,24.5891
109.25,23.8557
109.5,22.9895
109.75,22.145
110,21.3219
110,21.3219
110,21.3219
110.25,20.7657
110.5,20.2385
110.75,19.7205
111,19.2115
111,19.2115
111,19.2115
111.25,19.1482
111.5,19.1168
111.75,19.0854
112,19.0541
112,19.0541
112,19.0541
112.25,19.0228
112.5,18.9915
112.75,18.9603
113,18.9292
113,18.9292
113,18.9292
113.25,19.0436
113.5,19.1691
113.75,19.2951
114,19.4216
114,19.4216
114,19.4216
114.25,19.6379
114.5,19.8623
114.75,20.0885
115,20.3164
115,20.3164
115,20.3164
115.25,20.6379
115.5,20.9699
115.75,21.3055
116,21.6447
116,21.6447
116,21.6447
116.25,21.9239
116.5,22.2003
116.75,22.4791
117,22.7602
117,22.7602
117,22.7602
117.25,22.7819
117.5,22.7819
117.75,22.7819
118,22.7819
118,22.7819
118,22.7819
118.25,22.8145
118.5,22.8499
118.75,22.8854
119,22.9208
119,22.9208
119,22.9208
119.25,23.851
119.5,24.8843
119.75,25.9479
120,27.0423
120,27.0423
120,27.0423
120.25,27.1759
120.5,27.2158
120.75,27.2558
121,27.2957
121,27.2957
121,27.2957
121.25,27.3358
121.5,27.3759
121.75,27.416
122,27.4561
122,27.4561
122,27.4561
122.25,27.4597
122.5,27.4597
122.75,27.4597
123,27.4597
123,27.4597
123,27.4597
123.25,27.4963
123.5,27.5365
123.75,27.5768
124,27.6171
124,27.6171
124,27.6171
124.25,27.6575
124.5,27.6979
124.75,27.7383
125,27.7787
125,27.7787
125,27.7787
125.25,27.7455
125.5,27.705
125.75,27.6646
126,27.6243
126,27.6243
126,27.6243
126.25,27.6575
126.5,27.6979
126.75,27.7383
127,27.7787
127,27.7787
127,27.7787
127.25,27.7824
127.5,27.7824
127.75,27.7824
128,27.7824
128,27.7824
128,27.7824
128.25,27.7824
128.5,27.7824
128.75,27.7824
129,27.7824
129,27.7824
129,27.7824
129.25,27.6718
129.5,27.5508
129.75,27.4301
130,27.3099
130,27.3099
130,27.3099
130.25,27.2628
130.5,27.2228
130.75,27.1829
131,27.1431
131,27.1431
131,27.1431
131.25,26.5612
131.5,25.9372
131.75,25.3233
132,24.7195
132,24.7195
132,24.7195
132.25,24.9803
132.5,25.3204
132.75,25.6636
133,26.0099
133,26.0099
133,26.0099
133.25,25.6513
133.5,25.2315
133.75,24.8166
134,24.4064
134,24.4064
134,24.4064
134.25,23.9671
134.5,23.5303
134.75,23.099
135,22.6731
135,22.6731
135,22.6731
135.25,22.6408
135.5,22.6408
135.75,22.6408
136,22.6408
136,22.6408
136,22.6408
136.25,22.869
136.5,23.1178
136.75,23.3684
137,23.6209
137,23.6209
137,23.6209
137.25,23.5742
137.5,23.5019
137.75,23.4298
138,23.3578
138,23.3578
138,23.3578
138.25,23.7182
138.5,24.1197
138.75,24.5258
139,24.9366
139,24.9366
139,24.9366
139.25,25.6315
139.5,26.3652
139.75,27.1132
140,27.8758
140,27.8758
140,27.8758
140.25,28.1674
140.5,28.4133
140.75,28.6608
141,28.9097
141,28.9097
141,28.9097
141.25,29.3886
141.5,29.8965
141.75,30.4104
142,30.9305
142,30.9305
142,30.9305
142.25,30.1971
142.5,29.3454
142.75,28.5106
143,27.6927
143,27.6927
143,27.6927
143.25,30.9215
143.5,34.8489
143.75,39.1168
144,43.7463
144,43.7463
144,43.7463
144.25,44.5039
144.5,44.6742
144.75,44.8448
145,45.0158
145,45.0158
145,45.0158
145.25,45.3873
145.5,45.7904
145.75,46.1962
146,46.6045
146,46.6045
146,46.6045
146.25,46.6074
146.5,46.5489
146.75,46.4904
147,46.432
147,46.432
147,46.432
147.25,46.4751
147.5,46.5336
147.75,46.5921
148,46.6507
148,46.6507
148,46.6507
148.25,46.1
148.5,45.4632
148.75,44.8326
149,44.2086
149,44.2086
149,44.2086
149.25,43.9337
149.5,43.7095
149.75,43.4862
150,43.2637
150,43.2637
150,43.2637
150.25,43.042
150.5,42.8212
150.75,42.6012
151,42.382
151,42.382
151,42.382
151.25,42.4992
151.5,42.6638
151.75,42.8287
152,42.9941
152,42.9941
152,42.9941
152.25,42.7246
152.5,42.3953
152.75,42.0679
153,41.7423
153,41.7423
153,41.7423
153.25,41.5133
153.5,41.2982
153.75,41.0838
154,40.8703
154,40.8703
154,40.8703
154.25,40.8449
154.5,40.8449
154.75,40.8449
155,40.8449
155,40.8449
155,40.8449
155.25,40.8449
155.5,40.8449
155.75,40.8449
156,40.8449
156,40.8449
156,40.8449
156.25,41.0328
156.5,41.2467
156.75,41.4614
157,41.6768
157,41.6768
157,41.6768
157.25,41.6556
