,time,ptg_demand,pth_demand,T_amb_ptg,T_amb_avg,WF,PV,T_amb_pth
75,270000,0.003458050,3.45000,21,26.77,53.278167,0,21
76,273600,0.003475875,3.47500,20.5,26.77,48.115306,0,20.5
77,277200,0.003493700,3.50000,20,26.77,46.490986,1.319422,20
78,280800,0.003497265,3.50500,19.9,26.77,41.149653,28.059453,19.9
79,284400,0.003447355,3.43500,21.3,26.77,28.384259,55.175157,21.3
80,288000,0.003393880,3.36000,22.8,26.77,22.338246,68.630187,22.8
81,291600,0.003319015,3.25500,24.9,26.77,23.008658,73.960699,24.9
82,295200,0.003237020,3.14000,27.2,26.77,24.853248,75.949034,27.2
83,298800,0.003158590,3.03000,29.4,26.77,28.608043,76.473695,29.4
84,302400,0.003197805,3.08500,28.3,26.77,31.151452,79.906414,28.3
85,306000,0.003215630,3.11000,27.8,26.77,31.415206,82.589026,27.8
86,309600,0.003165720,3.04000,29.2,26.77,30.777014,83.392126,29.2
87,313200,0.003172850,3.05000,29,26.77,29.767001,80.710341,29
88,316800,0.003137200,3.00000,33.2,26.77,29.044578,76.771579,33.2
89,320400,0.003137200,3.00000,33.7,26.77,30.128316,71.310144,33.7
90,324000,0.003137200,3.00000,33.6,26.77,32.681769,56.567394,33.6
91,327600,0.003137200,3.00000,32.8,26.77,35.892824,28.313547,32.8
92,331200,0.003137200,3.00000,32.2,26.77,44.830193,8.406849,32.2
93,334800,0.003137200,3.00000,31.4,26.77,58.727891,0.710453,31.4
94,338400,0.003140765,3.00500,29.9,26.77,70.017108,0,29.9
95,342000,0.003165720,3.04000,29.2,26.77,76.733954,0,29.2
96,345600,0.003365360,3.32000,23.6,24.35,75.839049,0,23.6
97,349200,0.003361795,3.31500,23.7,24.35,79.043579,0,23.7
98,352800,0.003372490,3.33000,23.4,24.35,79.285795,0,23.4
99,356400,0.003368925,3.32500,23.5,24.35,78.669285,0,23.5
100,360000,0.003376055,3.33500,23.3,24.35,78.198107,0,23.3
101,363600,0.003386750,3.35000,23,24.35,77.243433,0,23
102,367200,0.003386750,3.35000,23,24.35,76.661851,6.131878,23
103,370800,0.003415270,3.39000,22.2,24.35,74.69725,32.616535,22.2
104,374400,0.003383185,3.34500,23.1,24.35,77.480106,57.877971,23.1
105,378000,0.003361795,3.31500,23.7,24.35,78.786739,71.421408,23.7
106,381600,0.003343970,3.29000,24.2,24.35,79.793231,78.620469,24.2
107,385200,0.003311885,3.24500,25.1,24.35,80.934875,82.635249,25.1
108,388800,0.003301190,3.23000,25.4,24.35,81.937291,84.398683,25.4
109,392400,0.003397445,3.36500,22.7,24.35,82.505947,85.113818,22.7
110,396000,0.003311885,3.24500,25.1,24.35,83.062074,84.351829,25.1
111,399600,0.003254845,3.16500,26.7,24.35,83.75064,82.807878,26.7
112,403200,0.003251280,3.16000,26.8,24.35,84.292071,79.625623,26.8
113,406800,0.003247715,3.15500,26.9,24.35,82.669919,74.116278,26.9
114,410400,0.003261975,3.17500,26.5,24.35,80.757825,64.261721,26.5
115,414000,0.003286930,3.21000,25.8,24.35,79.381122,46.923725,25.8
116,417600,0.003322580,3.26000,24.8,24.35,77.206858,17.515946,24.8
117,421200,0.003351100,3.30000,24,24.35,79.324886,0,24
118,424800,0.003351100,3.30000,24,24.35,84.478143,0,24
119,428400,0.003354665,3.30500,23.9,24.35,85.345637,0,23.9
120,432000,0.003454485,3.44500,21.1,21.49,41.444907,0,21.1
121,435600,0.003458050,3.45000,21,21.49,34.188088,0,21
122,439200,0.003461615,3.45500,20.9,21.49,44.850676,0,20.9
123,442800,0.003461615,3.45500,20.9,21.49,56.28377,0,20.9
124,446400,0.003465180,3.46000,20.8,21.49,48.165889,0,20.8
125,450000,0.003468745,3.46500,20.7,21.49,50.929367,0,20.7
126,453600,0.003465180,3.46000,20.8,21.49,52.996879,0,20.8
127,457200,0.003468745,3.46500,20.7,21.49,52.985806,0,20.7
128,460800,0.003468745,3.46500,20.7,21.49,56.227548,2.462303,20.7
129,464400,0.003468745,3.46500,20.7,21.49,52.567046,9.680163,20.7
130,468000,0.003458050,3.45000,21,21.49,49.573244,17.168832,21
131,471600,0.003454485,3.44500,21.1,21.49,49.429618,30.349142,21.1
132,475200,0.003397445,3.36500,22.7,21.49,51.394572,56.53102,22.7
133,478800,0.003429530,3.41000,21.8,21.49,57.369278,75.573886,21.8
134,482400,0.003390315,3.35500,22.9,21.49,60.948575,78.800828,22.9
135,486000,0.003347535,3.29500,24.1,21.49,59.64462,79.787169,24.1
136,489600,0.003347535,3.29500,24.1,21.49,56.074862,77.484171,24.1
137,493200,0.003372490,3.33000,23.4,21.49,53.408634,67.067936,23.4
138,496800,0.003365360,3.32000,23.6,21.49,47.225525,43.352895,23.6
139,500400,0.003404575,3.37500,22.5,21.49,35.73421,7.967569,22.5
140,504000,0.003472310,3.47000,20.6,21.49,26.468626,0,20.6
141,507600,0.003493700,3.50000,20,21.49,31.732329,0,20
142,511200,0.003536480,3.56000,18.8,21.49,50.21049,0,18.8
143,514800,0.003465180,3.46000,20.8,21.49,65.482238,0,20.8
144,518400,0.003775335,3.89500,12.1,12.68,37.547003,0,12.1
145,522000,0.003786030,3.91000,11.8,12.68,45.931625,0,11.8
146,525600,0.003810985,3.94500,11.1,12.68,50.525668,0,11.1
147,529200,0.003807420,3.94000,11.2,12.68,55.714664,0,11.2
148,532800,0.003810985,3.94500,11.1,12.68,64.016641,0,11.1
149,536400,0.003771770,3.89000,12.2,12.68,70.894933,0,12.2
150,540000,0.003757510,3.87000,12.6,12.68,76.095485,0,12.6
151,543600,0.003743250,3.85000,13,12.68,79.305323,0,13
152,547200,0.003753945,3.86500,12.7,12.68,82.310382,0.026135,12.7
153,550800,0.003732555,3.83500,13.3,12.68,82.674717,1.112383,13.3
154,554400,0.003718295,3.81500,13.7,12.68,82.333159,1.993581,13.7
155,558000,0.003718295,3.81500,13.7,12.68,82.348441,2.42823,13.7
156,561600,0.003718295,3.81500,13.7,12.68,76.273889,2.954324,13.7
157,565200,0.003732555,3.83500,13.3,12.68,63.028409,3.757545,13.3
158,568800,0.003728990,3.83000,13.4,12.68,68.626596,4.91763,13.4
159,572400,0.003739685,3.84500,13.1,12.68,86.850573,5.363456,13.1
160,576000,0.003732555,3.83500,13.3,12.68,93.921445,4.976757,13.3
161,579600,0.003714730,3.81000,13.8,12.68,94.476638,0,13.8
162,583200,0.003700470,3.79000,14.2,12.68,92.628803,0,14.2
163,586800,0.003746815,3.85500,12.9,12.68,90.811928,0,12.9
164,590400,0.003764640,3.88000,12.4,12.68,87.753325,0,12.4
165,594000,0.003771770,3.89000,12.2,12.68,84.58158,0,12.2
166,597600,0.003782465,3.90500,11.9,12.68,81.326929,0,11.9
167,601200,0.003796725,3.92500,11.5,12.68,77.500611,0,11.5
168,604800,0.003721860,3.82000,13.6,13.40,71.138664,0,13.6
169,608400,0.003718295,3.81500,13.7,13.40,68.130061,0,13.7
170,612000,0.003711165,3.80500,13.9,13.40,68.972071,0,13.9
171,615600,0.003718295,3.81500,13.7,13.40,74.136082,0,13.7
172,619200,0.003728990,3.83000,13.4,13.40,77.857683,0,13.4
173,622800,0.003736120,3.84000,13.2,13.40,79.975279,0,13.2
174,626400,0.003728990,3.83000,13.4,13.40,81.0362,0,13.4
175,630000,0.003761075,3.87500,12.5,13.40,80.584682,0,12.5
176,633600,0.003764640,3.88000,12.4,13.40,78.76055,0,12.4
177,637200,0.003732555,3.83500,13.3,13.40,78.973695,0.714301,13.3
178,640800,0.003739685,3.84500,13.1,13.40,81.306589,2.855208,13.1
179,644400,0.003732555,3.83500,13.3,13.40,83.17251,3.496021,13.3
180,648000,0.003725425,3.82500,13.5,13.40,87.300527,5.156988,13.5
181,651600,0.003714730,3.81000,13.8,13.40,89.706955,11.045929,13.8
182,655200,0.003714730,3.81000,13.8,13.40,90.078552,17.395415,13.8
183,658800,0.003711165,3.80500,13.9,13.40,89.70355,14.964246,13.9
184,662400,0.003728990,3.83000,13.4,13.40,89.807618,0.72125,13.4
185,666000,0.003728990,3.83000,13.4,13.40,89.856165,0,13.4
186,669600,0.003736120,3.84000,13.2,13.40,88.915665,0,13.2
187,673200,0.003739685,3.84500,13.1,13.40,87.42767,0,13.1
188,676800,0.003725425,3.82500,13.5,13.40,85.747873,0,13.5
189,680400,0.003707600,3.80000,14,13.40,84.459467,0,14
190,684000,0.003721860,3.82000,13.6,13.40,82.105607,0,13.6
191,687600,0.003743250,3.85000,13,13.40,77.335324,0,13
