"time","hP_with_boiler.Pelec"
111.25,19.1482
111.5,19.1168
111.75,19.0854
112,19.0541
112,19.0541
112,19.0541
112.25,19.0228
112.5,18.9915
112.75,18.9603
113,18.9292
113,18.9292
113,18.9292
113.25,19.0436
113.5,19.1691
113.75,19.2951
114,19.4216
114,19.4216
114,19.4216
114.25,19.6379
114.5,19.8623
114.75,20.0885
115,20.3164
115,20.3164
115,20.3164
115.25,20.6379
115.5,20.9699
115.75,21.3055
116,21.6447
116,21.6447
116,21.6447
116.25,21.9239
116.5,22.2003
116.75,22.4791
117,22.7602
117,22.7602
117,22.7602
117.25,22.7819
117.5,22.7819
117.75,22.7819
118,22.7819
118,22.7819
118,22.7819
118.25,22.8145
118.5,22.8499
118.75,22.8854
119,22.9208
119,22.9208
119,22.9208
119.25,23.851
119.5,24.8843
119.75,25.9479
120,27.0423
120,27.0423
120,27.0423
120.25,27.1759
120.5,27.2158
120.75,27.2558
121,27.2957
121,27.2957
121,27.2957
121.25,27.3358
121.5,27.3759
121.75,27.416
122,27.4561
122,27.4561
122,27.4561
122.25,27.4597
122.5,27.4597
122.75,27.4597
123,27.4597
123,27.4597
123,27.4597
123.25,27.4963
123.5,27.5365
123.75,27.5768
124,27.6171
124,27.6171
124,27.6171
124.25,27.6575
124.5,27.6979
124.75,27.7383
125,27.7787
125,27.7787
125,27.7787
125.25,27.7455
125.5,27.705
125.75,27.6646
126,27.6243
126,27.6243
126,27.6243
126.25,27.6575
126.5,27.6979
126.75,27.7383
127,27.7787
127,27.7787
127,27.7787
127.25,27.7824
127.5,27.7824
127.75,27.7824
128,27.7824
128,27.7824
128,27.7824
128.25,27.7824
128.5,27.7824
128.75,27.7824
129,27.7824
129,27.7824
129,27.7824
129.25,27.6718
129.5,27.5508
129.75,27.4301
130,27.3099
130,27.3099
130,27.3099
130.25,27.2628
130.5,27.2228
130.75,27.1829
131,27.1431
131,27.1431
131,27.1431
131.25,26.5612
131.5,25.9372
131.75,25.3233
132,24.7195
132,24.7195
132,24.7195
132.25,24.9803
132.5,25.3204
132.75,25.6636
133,26.0099
133,26.0099
133,26.0099
133.25,25.6513
133.5,25.2315
133.75,24.8166
134,24.4064
134,24.4064
134,24.4064
134.25,23.9671
134.5,23.5303
134.75,23.099
135,22.6731
135,22.6731
135,22.6731
135.25,22.6408
135.5,22.6408
135.75,22.6408
136,22.6408
136,22.6408
136,22.6408
136.25,22.869
136.5,23.1178
136.75,23.3684
137,23.6209
137,23.6209
137,23.6209
137.25,23.5742
137.5,23.5019
137.75,23.4298
138,23.3578
138,23.3578
138,23.3578
138.25,23.7182
138.5,24.1197
138.75,24.5258
139,24.9366
139,24.9366
139,24.9366
139.25,25.6315
139.5,26.3652
139.75,27.1132
140,27.8758
140,27.8758
140,27.8758
140.25,28.1674
140.5,28.4133
140.75,28.6608
141,28.9097
141,28.9097
141,28.9097
141.25,29.3886
141.5,29.8965
141.75,30.4104
142,30.9305
142,30.9305
142,30.9305
142.25,30.1971
142.5,29.3454
142.75,28.5106
143,27.6927
143,27.6927
143,27.6927
143.25,30.9215
143.5,34.8489
143.667,37.655
143.667,37.655
143.75,37.4419
144,40.6789
144,40.6789
144,40.6789
144.25,41.0454
144.5,41.1644
144.75,41.2838
145,41.4035
145,41.4035
145,41.4035
145.25,41.672
145.5,41.9546
145.75,42.2392
146,42.5258
146,42.5258
146,42.5258
146.25,42.5108
146.5,42.4697
146.75,42.4287
147,42.3877
147,42.3877
147,42.3877
147.25,42.4222
147.5,42.4632
147.75,42.5043
148,42.5453
148,42.5453
148,42.5453
148.25,42.1338
148.5,41.6878
148.75,41.2468
149,40.8106
149,40.8106
149,40.8106
149.25,40.6325
149.5,40.4759
149.75,40.3199
150,40.1646
150,40.1646
150,40.1646
150.25,40.0098
150.5,39.8557
150.75,39.7022
151,39.5494
151,39.5494
151,39.5494
151.25,39.6445
151.5,39.7593
151.75,39.8744
152,39.9899
152,39.9899
152,39.9899
152.25,39.7845
152.5,39.5549
152.75,39.3268
153,39.1
153,39.1
153,39.1
153.25,38.9442
153.5,38.7945
153.75,38.6453
154,38.4968
154,38.4968
154,38.4968
154.25,38.4864
154.5,38.4864
154.75,38.4864
155,38.4864
155,38.4864
155,38.4864
155.25,38.4864
155.5,38.4864
155.75,38.4864
156,38.4864
156,38.4864
156,38.4864
156.25,38.6244
156.5,38.7733
156.75,38.9229
157,39.073
157,39.073
157,39.073
157.25,39.0489
157.5,39.0113
157.75,38.9737
158,38.9365
158,38.9365
158,38.9365
158.25,39.0381
158.5,39.1511
158.75,39.2644
159,39.378
159,39.378
159,39.378
159.25,39.3158
159.5,39.2401
159.75,39.1646
160,39.0893
160,39.0893
160,39.0893
160.25,38.9094
160.5,38.7225
160.75,38.5365
161,38.3515
161,38.3515
161,38.3515
161.25,38.2016
161.5,38.055
161.75,37.9089
162,37.7635
162,37.7635
162,37.7635
162.25,38.195
162.5,38.6752
162.75,39.1618
163,39.6548
163,39.6548
163,39.6548
163.25,39.8688
163.5,40.0614
163.75,40.2551
164,40.4496
164,40.4496
164,40.4496
164.25,40.5365
164.5,40.6149
164.75,40.6933
165,40.7719
165,40.7719
165,40.7719
165.25,40.8872
165.5,41.0058
165.75,41.1247
166,41.244
166,41.244
166,41.244
166.25,41.4005
166.5,41.5608
166.75,41.7216
167,41.8831
167,41.8831
167,41.8831
167.25,41.1179
167.5,40.2912
167.75,39.482
168,38.6901
168,38.6901
168,38.6901
168.25,38.6003
168.5,38.5632
168.75,38.5261
169,38.4891
169,38.4891
169,38.4891
169.25,38.4176
169.5,38.3438
169.75,38.2701
170,38.1966
170,38.1966
170,38.1966
170.25,38.2598
170.5,38.3335
170.75,38.4073
171,38.4812
171,38.4812
171,38.4812
171.25,38.5899
171.5,38.7014
171.75,38.8133
172,38.9255
172,38.9255
172,38.9255
172.25,39.0032
172.5,39.0784
172.75,39.1538
173,39.2292
173,39.2292
173,39.2292
173.25,39.1646
173.5,39.0892
173.75,39.014
174,38.9389
174,38.9389
174,38.9389
174.25,39.2481
174.5,39.5897
174.75,39.9344
175,40.2823
175,40.2823
175,40.2823
175.25,40.3443
175.5,40.3833
175.75,40.4223
176,40.4612
176,40.4612
176,40.4612
176.25,40.1401
176.5,39.7929
176.75,39.4489
177,39.1081
177,39.1081
177,39.1081
177.25,39.1538
177.5,39.2293
177.75,39.3049
178,39.3807
178,39.3807
178,39.3807
178.25,39.3158
178.5,39.2401
178.75,39.1646
179,39.0893
179,39.0893
179,39.0893
179.25,39.014
179.5,38.9389
179.75,38.864
180,38.7892
180,38.7892
180,38.7892
180.25,38.6799
180.5,38.5684
180.75,38.4572
181,38.3464
181,38.3464
181,38.3464
181.25,38.3386
181.5,38.3386
181.75,38.3386
182,38.3386
182,38.3386
182,38.3386
182.25,38.3043
182.5,38.2675
182.75,38.2307
183,38.194
183,38.194
183,38.194
183.25,38.3627
183.5,38.5475
183.75,38.7334
184,38.9201
184,38.9201
184,38.9201
184.25,38.9335
184.5,38.9335
184.75,38.9335
185,38.9335
185,38.9335
185,38.9335
185.25,39.0032
185.5,39.0784
185.75,39.1538
186,39.2292
186,39.2292
186,39.2292
186.25,39.2698
186.5,39.3077
186.75,39.3455
187,39.3832
187,39.3832
187,39.3832
187.25,39.2456
187.5,39.0946
187.75,38.9442
188,38.7945
188,38.7945
188,38.7945
188.25,38.6108
188.5,38.4254
188.75,38.241
189,38.0575
189,38.0575
189,38.0575
189.25,38.1813
189.5,38.3284
189.75,38.4761
190,38.6244
190,38.6244
190,38.6244
190.25,38.8427
190.5,39.0677
190.75,39.294
191,39.5217
191,39.5217
