time,electrolyser_detailed1.electrochemical.Top,modelA
69,332.549,333.15
69.25,332.729,333.15
69.5,332.905,333.15
69.75,333.079,333.15
70,333.251,333.15
70,333.251,333.15
70,333.251,333.15
70.25,333.4,333.15
70.5,333.512,333.15
70.75,333.598,333.15
71,333.664,333.15
71,333.664,333.15
71,333.664,333.15
71.25,333.583,333.15
71.5,333.276,333.15
71.75,332.806,333.15
72,332.219,333.15
72,332.219,333.15
72,332.219,333.15
72.25,331.663,333.15
72.5,331.235,333.15
72.75,330.904,333.15
73,330.644,333.15
73,330.644,333.15
73,330.644,333.15
73.25,330.454,333.15
73.5,330.332,333.15
73.75,330.262,333.15
74,330.228,333.15
74,330.228,333.15
74,330.228,333.15
74.25,330.227,333.15
74.5,330.252,333.15
74.75,330.298,333.15
75,330.359,333.15
75,330.359,333.15
75,330.359,333.15
75.25,330.429,333.15
75.5,330.503,333.15
75.75,330.579,333.15
76,330.657,333.15
76,330.657,333.15
76,330.657,333.15
76.25,330.737,333.15
76.5,330.818,333.15
76.75,330.9,333.15
77,330.983,333.15
77,330.983,333.15
77,330.983,333.15
77.25,331.055,333.15
77.5,331.113,333.15
77.75,331.16,333.15
78,331.199,333.15
78,331.199,333.15
78,331.199,333.15
78.25,331.196,333.15
78.5,331.131,333.15
78.75,331.02,333.15
79,330.875,333.15
79,330.875,333.15
79,330.875,333.15
79.25,330.704,333.15
79.5,330.512,333.15
79.75,330.305,333.15
80,330.086,333.15
80,330.086,333.15
80,330.086,333.15
80.25,329.844,333.15
80.5,329.574,333.15
80.75,329.282,333.15
81,328.975,333.15
81,328.975,333.15
81,328.975,333.15
81.25,328.65,333.15
81.5,328.311,333.15
81.75,327.96,333.15
82,327.599,333.15
82,327.599,333.15
82,327.599,333.15
82.25,327.235,333.15
82.5,326.868,333.15
82.75,326.502,333.15
83,326.134,333.15
83,326.134,333.15
83,326.134,333.15
83.25,325.838,333.15
83.5,325.665,333.15
83.75,325.586,333.15
84,325.575,333.15
84,325.575,333.15
84,325.575,333.15
84.25,325.603,333.15
84.5,325.645,333.15
84.75,325.698,333.15
85,325.76,333.15
85,325.76,333.15
85,325.76,333.15
85.25,325.784,333.15
85.5,325.741,333.15
85.75,325.647,333.15
86,325.516,333.15
86,325.516,333.15
86,325.516,333.15
86.25,325.394,333.15
86.5,325.311,333.15
86.75,325.258,333.15
87,325.229,333.15
87,325.229,333.15
87,325.229,333.15
87.25,325.219,333.15
87.5,325.225,333.15
87.75,325.244,333.15
88,325.273,333.15
88,325.273,333.15
88,325.273,333.15
88.25,325.306,333.15
88.5,325.339,333.15
88.75,325.373,333.15
89,325.407,333.15
89,325.407,333.15
89,325.407,333.15
89.25,325.436,333.15
89.5,325.456,333.15
89.75,325.469,333.15
90,325.477,333.15
90,325.477,333.15
90,325.477,333.15
90.25,325.475,333.15
90.5,325.459,333.15
90.75,325.432,333.15
91,325.398,333.15
91,325.398,333.15
91,325.398,333.15
91.25,325.359,333.15
91.5,325.319,333.15
91.75,325.279,333.15
92,325.239,333.15
92,325.239,333.15
92,325.239,333.15
92.25,325.195,333.15
92.5,325.148,333.15
92.75,325.099,333.15
93,325.049,333.15
93,325.049,333.15
93,325.049,333.15
93.25,324.992,333.15
93.5,324.929,333.15
93.75,324.862,333.15
94,324.791,333.15
94,324.791,333.15
94,324.791,333.15
94.25,324.744,333.15
94.5,324.739,333.15
94.75,324.767,333.15
95,324.818,333.15
95,324.818,333.15
95,324.818,333.15
95.25,325,333.15
95.5,325.386,333.15
95.75,325.926,333.15
96,326.58,333.15
96,326.58,333.15
96,326.58,333.15
96.25,327.182,333.15
96.5,327.616,333.15
96.75,327.928,333.15
97,328.152,333.15
97,328.152,333.15
97,328.152,333.15
97.25,328.319,333.15
97.5,328.456,333.15
97.75,328.571,333.15
98,328.668,333.15
98,328.668,333.15
98,328.668,333.15
98.25,328.743,333.15
98.5,328.794,333.15
98.75,328.826,333.15
99,328.845,333.15
99,328.845,333.15
99,328.845,333.15
99.25,328.863,333.15
99.5,328.884,333.15
99.75,328.908,333.15
100,328.935,333.15
100,328.935,333.15
100,328.935,333.15
100.25,328.966,333.15
100.5,329.003,333.15
100.75,329.043,333.15
101,329.085,333.15
101,329.085,333.15
101,329.085,333.15
101.25,329.123,333.15
101.5,329.15,333.15
101.75,329.171,333.15
102,329.187,333.15
102,329.187,333.15
102,329.187,333.15
102.25,329.217,333.15
102.5,329.274,333.15
102.75,329.352,333.15
103,329.446,333.15
103,329.446,333.15
103,329.446,333.15
103.25,329.511,333.15
103.5,329.518,333.15
103.75,329.482,333.15
104,329.416,333.15
104,329.416,333.15
104,329.416,333.15
104.25,329.333,333.15
104.5,329.246,333.15
104.75,329.155,333.15
105,329.062,333.15
105,329.062,333.15
105,329.062,333.15
105.25,328.969,333.15
105.5,328.878,333.15
105.75,328.789,333.15
106,328.701,333.15
106,328.701,333.15
106,328.701,333.15
106.25,328.605,333.15
106.5,328.494,333.15
106.75,328.373,333.15
107,328.244,333.15
107,328.244,333.15
107,328.244,333.15
107.25,328.122,333.15
107.5,328.019,333.15
107.75,327.93,333.15
108,327.851,333.15
108,327.851,333.15
108,327.851,333.15
108.25,327.848,333.15
108.5,327.967,333.15
108.75,328.177,333.15
109,328.455,333.15
109,328.455,333.15
109,328.455,333.15
109.25,328.661,333.15
109.5,328.704,333.15
109.75,328.626,333.15
110,328.462,333.15
110,328.462,333.15
110,328.462,333.15
110.25,328.253,333.15
110.5,328.029,333.15
110.75,327.793,333.15
111,327.549,333.15
111,327.549,333.15
111,327.549,333.15
111.25,327.331,333.15
111.5,327.165,333.15
111.75,327.038,333.15
112,326.941,333.15
112,326.941,333.15
112,326.941,333.15
112.25,326.865,333.15
112.5,326.803,333.15
112.75,326.753,333.15
113,326.712,333.15
113,326.712,333.15
113,326.712,333.15
113.25,326.69,333.15
113.5,326.69,333.15
113.75,326.708,333.15
114,326.739,333.15
114,326.739,333.15
114,326.739,333.15
114.25,326.787,333.15
114.5,326.853,333.15
114.75,326.933,333.15
115,327.024,333.15
115,327.024,333.15
115,327.024,333.15
115.25,327.13,333.15
115.5,327.252,333.15
115.75,327.386,333.15
116,327.53,333.15
116,327.53,333.15
116,327.53,333.15
116.25,327.677,333.15
116.5,327.82,333.15
116.75,327.962,333.15
117,328.102,333.15
117,328.102,333.15
117,328.102,333.15
117.25,328.222,333.15
117.5,328.31,333.15
117.75,328.375,333.15
118,328.422,333.15
118,328.422,333.15
118,328.422,333.15
118.25,328.459,333.15
118.5,328.491,333.15
118.75,328.519,333.15
119,328.544,333.15
119,328.544,333.15
119,328.544,333.15
119.25,328.629,333.15
119.5,328.819,333.15
119.75,329.086,333.15
120,329.409,333.15
120,329.409,333.15
120,329.409,333.15
120.25,329.709,333.15
120.5,329.932,333.15
120.75,330.099,333.15
121,330.225,333.15
121,330.225,333.15
121,330.225,333.15
121.25,330.321,333.15
121.5,330.396,333.15
121.75,330.456,333.15
122,330.504,333.15
122,330.504,333.15
122,330.504,333.15
122.25,330.54,333.15
122.5,330.567,333.15
122.75,330.587,333.15
123,330.601,333.15
123,330.601,333.15
123,330.601,333.15
123.25,330.614,333.15
123.5,330.628,333.15
123.75,330.643,333.15
124,330.658,333.15
124,330.658,333.15
124,330.658,333.15
124.25,330.674,333.15
124.5,330.69,333.15
124.75,330.706,333.15
125,330.722,333.15
125,330.722,333.15
125,330.722,333.15
125.25,330.733,333.15
125.5,330.737,333.15
125.75,330.736,333.15
126,330.73,333.15
126,330.73,333.15
126,330.73,333.15
126.25,330.727,333.15
126.5,330.728,333.15
126.75,330.734,333.15
127,330.742,333.15
127,330.742,333.15
127,330.742,333.15
127.25,330.751,333.15
127.5,330.756,333.15
127.75,330.761,333.15
128,330.764,333.15
128,330.764,333.15
128,330.764,333.15
128.25,330.767,333.15
128.5,330.769,333.15
128.75,330.77,333.15
129,330.771,333.15
129,330.771,333.15
129,330.771,333.15
129.25,330.765,333.15
129.5,330.747,333.15
129.75,330.72,333.15
130,330.687,333.15
130,330.687,333.15
130,330.687,333.15
130.25,330.654,333.15
130.5,330.625,333.15
130.75,330.6,333.15
131,330.576,333.15
131,330.576,333.15
131,330.576,333.15
131.25,330.52,333.15
131.5,330.407,333.15
131.75,330.252,333.15
132,330.066,333.15
132,330.066,333.15
132,330.066,333.15
132.25,329.917,333.15
132.5,329.848,333.15
132.75,329.838,333.15
133,329.871,333.15
133,329.871,333.15
133,329.871,333.15
133.25,329.888,333.15
133.5,329.853,333.15
133.75,329.777,333.15
134,329.672,333.15
134,329.672,333.15
134,329.672,333.15
134.25,329.543,333.15
134.5,329.395,333.15
134.75,329.233,333.15
135,329.061,333.15
135,329.061,333.15
135,329.061,333.15
135.25,328.908,333.15
135.5,328.796,333.15
135.75,328.713,333.15
136,328.652,333.15
136,328.652,333.15
136,328.652,333.15
136.25,328.625,333.15
136.5,328.635,333.15
136.75,328.674,333.15
137,328.735,333.15
137,328.735,333.15
137,328.735,333.15
137.25,328.789,333.15
137.5,328.821,333.15
137.75,328.835,333.15
138,328.836,333.15
138,328.836,333.15
138,328.836,333.15
138.25,328.858,333.15
138.5,328.923,333.15
138.75,329.021,333.15
139,329.143,333.15
139,329.143,333.15
139,329.143,333.15
139.25,329.301,333.15
139.5,329.503,333.15
139.75,329.737,333.15
140,329.995,333.15
140,329.995,333.15
140,329.995,333.15
140.25,330.239,333.15
140.5,330.445,333.15
140.75,330.622,333.15
141,330.778,333.15
141,330.778,333.15
141,330.778,333.15
141.25,330.933,333.15
141.5,331.101,333.15
141.75,331.278,333.15
142,331.462,333.15
142,331.462,333.15
142,331.462,333.15
142.25,331.575,333.15
142.5,331.566,333.15
142.75,331.468,333.15
143,331.306,333.15
143,331.306,333.15
143,331.306,333.15
143.25,331.347,333.15
143.5,331.781,333.15
143.75,332.506,333.15
144,333.445,333.15
144,333.445,333.15
144,333.445,333.15
144.25,334.324,333.15
144.5,334.965,333.15
144.75,335.436,333.15
145,335.786,333.15
145,335.786,333.15
145,335.786,333.15
145.25,336.059,333.15
145.5,336.288,333.15
145.75,336.484,333.15
146,336.658,333.15
146,336.658,333.15
146,336.658,333.15
146.25,336.795,333.15
146.5,336.888,333.15
146.75,336.951,333.15
147,336.99,333.15
147,336.99,333.15
147,336.99,333.15
147.25,337.019,333.15
147.5,337.044,333.15
147.75,337.067,333.15
148,337.088,333.15
148,337.088,333.15
148,337.088,333.15
148.25,337.078,333.15
148.5,337.021,333.15
148.75,336.928,333.15
149,336.811,333.15
149,336.811,333.15
149,336.811,333.15
149.25,336.693,333.15
149.5,336.589,333.15
149.75,336.495,333.15
150,336.41,333.15
150,336.41,333.15
150,336.41,333.15
150.25,336.33,333.15
150.5,336.254,333.15
150.75,336.181,333.15
151,336.11,333.15
151,336.11,333.15
151,336.11,333.15
151.25,336.058,333.15
151.5,336.033,333.15
151.75,336.03,333.15
152,336.041,333.15
152,336.041,333.15
152,336.041,333.15
152.25,336.042,333.15
152.5,336.015,333.15
152.75,335.967,333.15
153,335.905,333.15
153,335.905,333.15
153,335.905,333.15
153.25,335.838,333.15
153.5,335.771,333.15
153.75,335.704,333.15
154,335.638,333.15
154,335.638,333.15
