"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
53,0.702368,0.706325
53.25,0.702434,0.706385
53.5,0.7025,0.706432
53.75,0.702567,0.706469
54,0.702633,0.706498
54,0.702633,0.706498
54,0.702633,0.706498
54.25,0.702766,0.706579
54.5,0.7029,0.706644
54.75,0.703033,0.706698
55,0.703167,0.706742
55,0.703167,0.706742
55,0.703167,0.706742
55.25,0.703483,0.706937
55.5,0.703801,0.707096
55.75,0.704119,0.707227
56,0.704438,0.707338
56,0.704438,0.707338
56,0.704438,0.707338
56.25,0.704657,0.707351
56.5,0.704876,0.707371
56.75,0.705095,0.707398
57,0.705314,0.707429
57,0.705314,0.707429
57,0.705314,0.707429
57.25,0.705684,0.707594
57.5,0.706056,0.707737
57.75,0.706428,0.707862
58,0.706801,0.707974
58,0.706801,0.707974
58,0.706801,0.707974
58.25,0.706603,0.707574
58.5,0.706399,0.70727
58.75,0.706196,0.707038
59,0.705993,0.706861
59,0.705993,0.706861
59,0.705993,0.706861
59.25,0.70636,0.707221
59.5,0.706733,0.707507
59.75,0.707107,0.707735
60,0.707481,0.707922
60,0.707481,0.707922
60,0.707481,0.707922
60.25,0.707653,0.707902
60.5,0.707824,0.707895
60.75,0.707994,0.707899
61,0.708165,0.707913
61,0.708165,0.707913
61,0.708165,0.707913
61.25,0.708031,0.707661
61.5,0.707894,0.707468
61.75,0.707758,0.707321
62,0.707622,0.707207
62,0.707622,0.707207
62,0.707622,0.707207
62.25,0.70784,0.707432
62.5,0.708062,0.70761
62.75,0.708284,0.707752
63,0.708505,0.707868
63,0.708505,0.707868
63,0.708505,0.707868
63.25,0.70861,0.70786
63.5,0.708713,0.707859
63.75,0.708815,0.707864
64,0.708918,0.707874
64,0.708918,0.707874
64,0.708918,0.707874
64.25,0.708885,0.707765
64.5,0.708851,0.707683
64.75,0.708816,0.707621
65,0.708782,0.707574
65,0.708782,0.707574
65,0.708782,0.707574
65.25,0.708816,0.707599
65.5,0.70885,0.707619
65.75,0.708884,0.707636
66,0.708919,0.707651
66,0.708919,0.707651
66,0.708919,0.707651
66.25,0.708834,0.707557
66.5,0.708748,0.707482
66.75,0.708663,0.707423
67,0.708577,0.707376
67,0.708577,0.707376
67,0.708577,0.707376
67.25,0.708475,0.707322
67.5,0.708372,0.707276
67.75,0.70827,0.707238
68,0.708167,0.707204
68,0.708167,0.707204
68,0.708167,0.707204
68.25,0.707946,0.707069
68.5,0.707725,0.706958
68.75,0.707503,0.706866
69,0.707282,0.706788
69,0.707282,0.706788
69,0.707282,0.706788
69.25,0.707112,0.706765
69.5,0.706942,0.70674
69.75,0.706772,0.706714
70,0.706603,0.706686
70,0.706603,0.706686
70,0.706603,0.706686
70.25,0.706584,0.706789
70.5,0.706567,0.706865
70.75,0.70655,0.706918
71,0.706533,0.706956
71,0.706533,0.706956
71,0.706533,0.706956
71.25,0.707459,0.707813
71.5,0.708397,0.7085
71.75,0.70934,0.709063
72,0.710286,0.709541
72,0.710286,0.709541
72,0.710286,0.709541
72.25,0.710362,0.709168
72.5,0.710431,0.70889
72.75,0.7105,0.70869
73,0.710569,0.708547
73,0.710569,0.708547
73,0.710569,0.708547
73.25,0.710502,0.708322
73.5,0.710433,0.708151
73.75,0.710364,0.708023
74,0.710295,0.707925
74,0.710295,0.707925
74,0.710295,0.707925
74.25,0.710191,0.707818
74.5,0.710088,0.707733
74.75,0.709985,0.707666
75,0.709881,0.707611
75,0.709881,0.707611
75,0.709881,0.707611
75.25,0.709795,0.707581
75.5,0.709709,0.707554
75.75,0.709623,0.707529
76,0.709537,0.707506
76,0.709537,0.707506
76,0.709537,0.707506
76.25,0.709451,0.707485
76.5,0.709366,0.707465
76.75,0.70928,0.707445
77,0.709194,0.707426
77,0.709194,0.707426
77,0.709194,0.707426
77.25,0.709176,0.707468
77.5,0.709159,0.707499
77.75,0.709142,0.70752
78,0.709125,0.707535
78,0.709125,0.707535
78,0.709125,0.707535
78.25,0.709363,0.707774
78.5,0.709603,0.707964
78.75,0.709844,0.708118
79,0.710085,0.708244
79,0.710085,0.708244
79,0.710085,0.708244
79.25,0.710343,0.708366
79.5,0.710602,0.708473
79.75,0.710862,0.708567
80,0.711121,0.708652
80,0.711121,0.708652
80,0.711121,0.708652
80.25,0.711484,0.708826
80.5,0.711848,0.708978
80.75,0.712213,0.709114
81,0.712579,0.709238
81,0.712579,0.709238
81,0.712579,0.709238
81.25,0.71298,0.709386
81.5,0.713382,0.709523
81.75,0.713784,0.709652
82,0.714188,0.709776
82,0.714188,0.709776
82,0.714188,0.709776
82.25,0.714575,0.70988
82.5,0.714962,0.709983
82.75,0.71535,0.710088
83,0.715738,0.710194
83,0.715738,0.710194
83,0.715738,0.710194
83.25,0.71555,0.709749
83.5,0.715355,0.709399
83.75,0.715161,0.709127
84,0.714967,0.708912
84,0.714967,0.708912
84,0.714967,0.708912
84.25,0.714878,0.708841
84.5,0.71479,0.708783
84.75,0.714702,0.708735
85,0.714614,0.708694
85,0.714614,0.708694
85,0.714614,0.708694
85.25,0.714858,0.708972
85.5,0.715104,0.709197
85.75,0.715351,0.70938
86,0.715599,0.709533
86,0.715599,0.709533
86,0.715599,0.709533
86.25,0.715566,0.709395
86.5,0.71553,0.709288
86.75,0.715495,0.709207
87,0.71546,0.709144
87,0.71546,0.709144
87,0.71546,0.709144
87.25,0.715635,0.709322
87.5,0.715812,0.709515
87.75,0.715989,0.709719
88,0.716166,0.709932
88,0.716166,0.709932
88,0.716166,0.709932
88.25,0.716167,0.709961
88.5,0.716167,0.709989
88.75,0.716167,0.710017
89,0.716167,0.710045
89,0.716167,0.710045
89,0.716167,0.710045
89.25,0.716167,0.710069
89.5,0.716167,0.710086
89.75,0.716167,0.710097
90,0.716167,0.710103
90,0.716167,0.710103
90,0.716167,0.710103
90.25,0.716167,0.710101
90.5,0.716167,0.710088
90.75,0.716167,0.710065
91,0.716167,0.710037
91,0.716167,0.710037
91,0.716167,0.710037
91.25,0.716167,0.710005
91.5,0.716167,0.709972
91.75,0.716167,0.709938
92,0.716167,0.709905
92,0.716167,0.709905
92,0.716167,0.709905
92.25,0.716167,0.709868
92.5,0.716167,0.709829
92.75,0.716167,0.709788
93,0.716167,0.709747
93,0.716167,0.709747
93,0.716167,0.709747
93.25,0.71615,0.70968
93.5,0.716132,0.709609
93.75,0.716114,0.709533
94,0.716097,0.709455
94,0.716097,0.709455
94,0.716097,0.709455
94.25,0.715974,0.709284
