"time","hp2.COP"
46.6706,4.01647
46.6706,4.01647
46.6707,4.01647
46.6707,4.01647
46.6942,4.01512
46.6942,4.01512
46.6943,4.01511
46.6943,4.01511
46.7176,4.01378
46.7176,4.01378
46.7177,4.01377
46.7177,4.01377
46.7408,4.01244
46.7408,4.01244
46.7409,4.01244
46.7409,4.01244
46.7638,4.01113
46.7638,4.01113
46.7639,4.01112
46.7639,4.01112
46.7866,4.00982
46.7866,4.00982
46.7867,4.00982
46.7867,4.00982
46.8092,4.00853
46.8092,4.00853
46.8093,4.00852
46.8093,4.00852
46.8316,4.00725
46.8316,4.00725
46.8317,4.00724
46.8317,4.00724
46.8537,4.00598
46.8537,4.00598
46.8538,4.00598
46.8538,4.00598
46.8756,4.00473
46.8756,4.00473
46.8757,4.00472
46.8757,4.00472
46.8973,4.00349
46.8973,4.00349
46.8974,4.00348
46.8974,4.00348
46.9188,4.00226
46.9188,4.00226
46.9189,4.00226
46.9189,4.00226
46.94,4.00105
46.94,4.00105
46.94,4.00105
46.94,4.00105
46.9609,3.99986
46.9609,3.99986
46.961,3.99986
46.961,3.99986
46.9815,3.99869
46.9815,3.99869
46.9816,3.99868
46.9816,3.99868
47,3.99763
47,3.99763
47,3.99763
47.0022,3.99767
47.0022,3.99767
47.0023,3.99767
47.0023,3.99767
47.5,4.00579
48,4.01397
48,4.01397
48,4.01397
48.5,4.02217
49,4.03041
49,4.03041
49,4.03041
49.5,4.00987
49.8459,3.99576
49.8459,3.99576
49.8462,3.99575
49.8462,3.99575
49.9008,3.99353
49.9008,3.99353
49.901,3.99352
49.901,3.99352
49.9376,3.99203
49.9376,3.99203
49.9377,3.99203
49.9377,3.99203
49.9673,3.99083
49.9673,3.99083
49.9675,3.99082
49.9675,3.99082
49.9937,3.98976
49.9937,3.98976
49.9938,3.98975
49.9938,3.98975
50,3.9895
50,3.9895
50,3.9895
50.5,3.99356
51,3.99763
51,3.99763
51,3.99763
51.5,3.9895
51.5527,3.98864
51.5527,3.98864
51.5529,3.98864
51.5529,3.98864
51.613,3.98767
51.613,3.98767
51.6131,3.98767
51.6131,3.98767
51.6591,3.98692
51.6591,3.98692
51.6592,3.98692
51.6592,3.98692
51.7012,3.98624
51.7012,3.98624
51.7013,3.98623
51.7013,3.98623
51.742,3.98558
51.742,3.98558
51.7421,3.98557
51.7421,3.98557
51.782,3.98493
51.782,3.98493
51.7821,3.98492
51.7821,3.98492
51.8215,3.98429
51.8215,3.98429
51.8216,3.98428
51.8216,3.98428
51.8605,3.98365
51.8605,3.98365
51.8606,3.98365
51.8606,3.98365
51.899,3.98303
51.899,3.98303
51.8991,3.98303
51.8991,3.98303
51.9371,3.98241
51.9371,3.98241
51.9372,3.98241
51.9372,3.98241
51.9746,3.98181
51.9746,3.98181
51.9747,3.98181
51.9747,3.98181
52,3.9814
52,3.9814
52,3.9814
52.0255,3.9814
52.0255,3.9814
52.0256,3.9814
52.0256,3.9814
52.5,3.9814
53,3.9814
53,3.9814
53,3.9814
53.5,3.99763
54,4.01397
54,4.01397
54,4.01397
54.5,4.04696
55,4.08037
55,4.08037
55,4.08037
55.5,4.1615
56,4.24518
56,4.24518
56,4.24518
56.5,4.30398
57,4.36409
57,4.36409
57,4.36409
57.5,4.46891
58,4.57788
58,4.57788
58,4.57788
58.5,4.51791
59,4.45922
59,4.45922
59,4.45922
59.5,4.5678
60,4.68079
60,4.68079
60,4.68079
60.5,4.7337
61,4.78762
61,4.78762
61,4.78762
61.5,4.7444
62,4.70183
62,4.70183
62,4.70183
