"time","electrolyser_detailed1.Pelec","hp2.Pelec"
76.5,44.5411,48.5947
76.75,44.5993,48.5947
77,44.6574,48.5947
77,44.6574,47.6669
77,44.6574,46.7202
77.25,44.6666,46.7202
77.5,44.676,46.7202
77.75,44.686,44.606
78,44.6965,42.4827
78,44.6965,42.4827
78,44.6965,42.4827
78.25,44.5234,41.0344
78.5,44.3521,39.6606
78.75,44.1831,39.6606
79,44.016,39.6606
79,44.016,37.4621
79,44.016,35.3021
79.25,43.8377,35.3021
79.5,43.6605,35.3021
79.75,43.4841,36.287
80,43.3085,37.4724
80,43.3085,37.4724
80,43.3085,37.4724
80.25,43.0595,35.4946
80.5,42.8115,33.417
80.75,42.5646,33.417
81,42.3186,33.417
81,42.3186,32.4473
81,42.3186,31.5522
81.25,42.0486,31.5522
81.5,41.7792,31.5522
81.75,41.5104,32.1863
82,41.242,32.9096
82,41.242,32.9096
82,41.242,32.9096
82.25,40.9861,31.832
82.5,40.7304,30.6871
82.75,40.4747,30.6871
83,40.2191,30.6871
83,40.2191,30.14
83,40.2191,29.6284
83.25,40.366,29.6284
83.5,40.5109,29.6284
83.75,40.6515,29.7663
84,40.7888,29.9366
84,40.7888,29.9366
84,40.7888,29.9366
84.25,40.8504,29.7823
84.5,40.9106,29.6125
84.75,40.9703,29.6125
85,41.0295,29.6125
85,41.0295,30.0099
85,41.0295,30.4392
85.25,40.8561,30.4392
85.5,40.684,30.4392
85.75,40.5145,30.9558
86,40.3467,31.4828
86,40.3467,31.4828
86,40.3467,31.4828
86.25,40.3757,32.6143
86.5,40.4045,33.806
86.75,40.4319,33.806
87,40.4581,33.806
87,40.4581,34.7584
87,40.4581,35.7149
87.25,40.3356,35.7149
87.5,40.211,35.7149
87.75,40.0859,35.8585
88,39.9604,35.9555
88,39.9604,35.9555
88,39.9604,35.9555
88.25,39.9578,31.1279
88.5,39.9562,26.5363
88.75,39.9547,26.5363
89,39.9531,26.5363
89,39.9531,26.0526
89,39.9531,25.7439
89.25,39.9517,25.7439
89.5,39.9508,25.7439
89.75,39.9502,26.0263
90,39.9498,26.3372
90,39.9498,26.3372
90,39.9498,26.3372
90.25,39.9499,26.8015
90.5,39.9507,27.2781
90.75,39.9519,27.2781
91,39.9535,27.2781
91,39.9535,27.6835
91,39.9535,28.0894
91.25,39.9553,28.0894
91.5,39.9572,28.0894
91.75,39.959,28.4994
92,39.9609,28.9135
92,39.9609,28.9135
92,39.9609,28.9135
92.25,39.963,29.0122
92.5,39.9652,29.0957
92.75,39.9675,29.0957
93,39.9698,29.0957
93,39.9698,27.9958
93,39.9698,26.8702
93.25,39.9848,26.8702
93.5,40.0002,26.8702
93.75,40.0158,25.7025
94,40.0314,24.5671
94,40.0314,24.5671
94,40.0314,24.5671
94.25,40.1202,23.0525
94.5,40.2075,21.5863
94.75,40.2932,21.5863
95,40.3778,21.5863
95,40.3778,20.059
95,40.3778,18.6021
95.25,41.0613,18.6021
95.5,41.741,18.6021
95.75,42.4137,17.275
96,43.0806,16.0152
96,43.0806,16.0152
96,43.0806,16.0152
96.25,43.0431,16.5802
96.5,43.0082,17.215
96.75,42.9797,17.215
97,42.9558,17.215
97,42.9558,17.52
97,42.9558,17.8175
97.25,42.9843,17.8175
97.5,43.0147,17.8175
97.75,43.0463,17.0269
98,43.0786,16.2262
98,43.0786,16.2262
98,43.0786,16.2262
98.25,43.063,16.312
98.5,43.0479,16.4251
98.75,43.0338,16.4251
99,43.0205,16.4251
99,43.0205,14.5954
99,43.0205,12.8392
99.25,43.0441,12.8392
99.5,43.068,12.8392
99.75,43.0917,12.6168
100,43.1153,12.4316
100,43.1153,12.4316
100,43.1153,12.4316
100.25,43.151,12.4634
100.5,43.1866,12.5003
100.75,43.222,12.5003
101,43.2572,12.5003
101,43.2572,12.7921
101,43.2572,13.0936
101.25,43.2557,13.0936
101.5,43.2542,13.0936
101.75,43.2532,13.3242
102,43.2524,13.5551
102,43.2524,13.5551
102,43.2524,13.5551
102.25,43.3498,13.8643
102.5,43.4467,14.1792
102.75,43.5426,14.1792
103,43.6375,14.1792
103,43.6375,14.7842
103,43.6375,15.4113
103.25,43.5238,15.4113
103.5,43.4112,15.4113
103.75,43.3007,15.8017
104,43.1919,16.1911
104,43.1919,16.1911
104,43.1919,16.1911
104.25,43.1209,19.4366
104.5,43.0505,23.1963
104.75,42.9803,23.1963
105,42.9102,23.1963
105,42.9102,23.2831
105,42.9102,23.2115
105.25,42.8525,23.2115
105.5,42.7947,23.2115
105.75,42.7369,23.4157
106,42.679,23.6323
106,42.679,23.6323
106,42.679,23.6323
106.25,42.5721,23.5713
106.5,42.4655,23.4992
106.75,42.3594,23.4992
107,42.2538,23.4992
107,42.2538,23.6352
107,42.2538,23.7804
107.25,42.2218,23.7804
107.5,42.1895,23.7804
107.75,42.1566,23.9965
108,42.1235,24.2168
108,42.1235,24.2168
108,42.1235,24.2168
108.25,42.4565,24.2257
108.5,42.7874,24.2257
108.75,43.1138,24.2257
109,43.4367,24.2257
109,43.4367,24.7958
109,43.4367,25.3995
109.25,43.132,25.3995
109.5,42.8305,25.3995
109.75,42.5353,24.773
110,42.2446,24.1051
110,42.2446,24.1051
110,42.2446,24.1051
110.25,42.0549,23.6581
110.5,41.8668,23.2254
110.75,41.6793,23.2254
111,41.4924,23.2254
111,41.4924,22.8663
111,41.4924,22.5139
111.25,41.4888,22.5139
111.5,41.4844,22.5139
111.75,41.4782,21.8986
112,41.4706,21.2848
112,41.4706,21.2848
112,41.4706,21.2848
112.25,41.4618,21.0682
112.5,41.4523,20.8677
112.75,41.4423,20.8677
113,41.4319,20.8677
113,41.4319,22.6388
113,41.4319,24.5891
113.25,41.4822,24.5891
113.5,41.532,24.5891
113.75,41.581,22.9895
114,41.6291,21.3219
114,41.6291,21.3219
114,41.6291,21.3219
114.25,41.7138,20.2385
114.5,41.7977,19.2115
114.75,41.881,19.2115
115,41.9637,19.2115
115,41.9637,19.1168
115,41.9637,19.0541
115.25,42.0828,19.0541
115.5,42.2014,19.0541
115.75,42.3194,18.9915
116,42.4367,18.9292
116,42.4367,18.9292
116,42.4367,18.9292
116.25,42.5296,19.1691
116.5,42.6221,19.4216
116.75,42.7148,19.4216
117,42.8075,19.4216
117,42.8075,19.8623
117,42.8075,20.3164
117.25,42.8023,20.3164
117.5,42.7978,20.3164
117.75,42.7946,20.9699
118,42.7922,21.6447
118,42.7922,21.6447
118,42.7922,21.6447
118.25,42.8027,22.2003
118.5,42.8136,22.7602
118.75,42.8246,22.7602
119,42.8358,22.7602
119,42.8358,22.7819
119,42.8358,22.7819
119.25,43.1779,22.7819
119.5,43.5179,22.7819
119.75,43.854,22.8499
120,44.1873,22.9208
120,44.1873,22.9208
120,44.1873,22.9208
120.25,44.187,24.8843
120.5,44.1879,27.0423
120.75,44.1917,27.0423
121,44.1974,27.0423
121,44.1974,27.2158
121,44.1974,27.2957
121.25,44.2051,27.2957
121.5,44.2137,27.2957
121.75,44.2231,27.3759
122,44.233,27.4561
122,44.233,27.4561
122,44.233,27.4561
122.25,44.2313,27.4597
122.5,44.2299,27.4597
122.75,44.2289,27.4597
123,44.2282,27.4597
123,44.2282,27.5365
123,44.2282,27.6171
123.25,44.2399,27.6171
123.5,44.2516,27.6171
123.75,44.2634,27.6979
124,44.275,27.7787
124,44.275,27.7787
124,44.275,27.7787
124.25,44.2867,27.705
124.5,44.2984,27.6243
124.75,44.31,27.6243
125,44.3217,27.6243
125,44.3217,27.6979
125,44.3217,27.7787
125.25,44.3088,27.7787
125.5,44.2962,27.7787
125.75,44.2837,27.7824
126,44.2716,27.7824
126,44.2716,27.7824
126,44.2716,27.7824
126.25,44.284,27.7824
126.5,44.2964,27.7824
126.75,44.3086,27.7824
127,44.3205,27.7824
127,44.3205,27.5508
127,44.3205,27.3098
127.25,44.3203,27.3098
127.5,44.32,27.3098
127.75,44.3198,27.2228
128,44.3196,27.1431
128,44.3196,27.1431
128,44.3196,27.1431
128.25,44.3195,25.9372
128.5,44.3194,24.7195
128.75,44.3193,24.7195
129,44.3192,24.7195
129,44.3192,25.3204
129,44.3192,26.0099
129.25,44.2824,26.0099
129.5,44.2459,26.0099
129.75,44.2098,25.2315
130,44.1741,24.4064
130,44.1741,24.4064
130,44.1741,24.4064
130.25,44.1631,23.5303
130.5,44.1521,22.6733
130.75,44.141,22.6733
131,44.1297,22.6733
131,44.1297,22.6408
131,44.1297,22.6408
131.25,43.9346,22.6408
131.5,43.7408,22.6408
131.75,43.5492,23.1178
132,43.3594,23.6209
132,43.3594,23.6209
132,43.3594,23.6209
132.25,43.4762,23.5019
132.5,43.592,23.3578
132.75,43.7048,23.3578
133,43.8154,23.3578
133,43.8154,24.1197
133,43.8154,24.9365
133.25,43.6794,24.9365
133.5,43.544,24.9365
133.75,43.4107,26.3652
134,43.2789,27.8758
134,43.2789,27.8758
134,43.2789,27.8758
134.25,43.1359,28.4133
134.5,42.9938,28.9097
134.75,42.8524,28.9097
135,42.7118,28.9097
135,42.7118,29.8965
135,42.7118,30.9305
135.25,42.7179,30.9305
135.5,42.7236,30.9305
135.75,42.7277,29.3454
136,42.7307,27.6925
136,42.7307,27.6925
136,42.7307,27.6925
136.25,42.8186,34.8489
136.5,42.9054,43.7462
136.75,42.9907,43.7462
137,43.0749,43.7462
137,43.0749,44.6742
137,43.0749,45.0158
137.25,43.0483,45.0158
137.5,43.0217,45.0158
137.75,42.996,45.7904
138,42.9713,46.6045
138,42.9713,46.6045
138,42.9713,46.6045
138.25,43.1057,46.5489
138.5,43.2397,46.4321
138.75,43.372,46.4321
139,43.503,46.4321
139,43.503,46.5336
139,43.503,46.6507
139.25,43.7314,46.6507
139.5,43.9583,46.6507
139.75,44.1836,45.4632
140,44.4076,44.2086
140,44.4076,44.2086
140,44.4076,44.2086
140.25,44.4713,43.7095
140.5,44.5355,43.2637
140.75,44.6012,43.2637
141,44.6678,43.2637
141,44.6678,42.8212
141,44.6678,42.382
141.25,44.8092,42.382
141.5,44.9504,42.382
141.75,45.0912,42.6638
142,45.2314,42.9941
142,45.2314,42.9941
142,45.2314,42.9941
142.25,44.9789,42.3953
142.5,44.7296,41.7423
142.75,44.485,41.7423
143,44.2445,41.7423
143,44.2445,41.2982
143,44.2445,40.8703
143.25,45.3171,40.8703
143.5,46.3839,40.8703
143.75,47.4364,40.8449
144,48.4777,40.8449
144,48.4777,40.8449
144,48.4777,40.8449
144.25,48.474,40.8449
144.5,48.4751,40.8449
144.75,48.486,40.8449
145,48.5036,40.8449
145,48.5036,41.2467
145,48.5036,41.677
145.25,48.5759,41.677
145.5,48.6508,41.677
145.75,48.7276,41.6016
146,48.8055,41.4939
146,48.8055,41.4939
146,48.8055,41.4939
146.25,48.7862,41.7916
146.5,48.7684,42.1171
146.75,48.7524,42.1171
147,48.7377,42.1171
147,48.7377,41.9328
147,48.7377,41.7162
147.25,48.7484,41.7162
147.5,48.7595,41.7162
147.75,48.7707,41.1973
148,48.7821,40.6639
148,48.7821,40.6639
148,48.7821,40.6639
148.25,48.6461,40.2345
148.5,48.5115,39.8147
148.75,48.3789,39.8147
149,48.2478,39.8147
149,48.2478,41.0822
149,48.2478,42.4869
149.25,48.2034,42.4869
149.5,48.1591,42.4869
149.75,48.1142,43.0911
150,48.0689,43.6464
150,48.0689,43.6464
150,48.0689,43.6464
150.25,48.0231,43.8914
150.5,47.9772,44.1158
150.75,47.9312,44.1158
151,47.8851,44.1158
151,47.8851,44.4475
151,47.8851,44.7878
151.25,47.9247,44.7878
151.5,47.9636,44.7878
151.75,48.0014,45.2373
152,48.038,45.6968
152,48.038,45.6968
152,48.038,45.6968
152.25,47.9641,43.493
152.5,47.8905,41.193
152.75,47.818,41.193
153,47.7463,41.193
153,47.7463,40.9579
153,47.7463,40.8513
153.25,47.6997,40.8513
153.5,47.6533,40.8513
153.75,47.6069,40.645
154,47.5606,40.4332
154,47.5606,40.4332
154,47.5606,40.4332
154.25,47.5632,40.6199
154.5,47.5654,40.832
154.75,47.5671,40.832
155,47.5682,40.832
155,47.5682,41.146
155,47.5682,41.4679
155.25,47.5691,41.4679
155.5,47.5697,41.4679
155.75,47.5701,41.69
156,47.5704,41.9065
156,47.5704,41.9065
156,47.5704,41.9065
156.25,47.6197,41.7162
156.5,47.6686,41.5005
156.75,47.7168,41.5005
157,47.7644,41.5005
157,47.7644,42.4044
157,47.7644,43.3961
157.25,47.7504,43.3961
157.5,47.7366,43.3961
157.75,47.7234,43.5629
158,47.7108,43.6746
158,47.7108,43.6746
158,47.7108,43.6746
158.25,47.7474,42.745
158.5,47.7839,41.762
158.75,47.82,41.762
159,47.8557,41.762
159,47.8557,41.9065
159,47.8557,42.1237
159.25,47.8297,42.1237
159.5,47.8041,42.1237
159.75,47.7792,41.9328
160,47.7549,41.7163
160,47.7549,41.7163
160,47.7549,41.7163
160.25,47.6939,41.5003
160.5,47.6335,41.2853
160.75,47.5738,41.2853
161,47.5146,41.2853
161,47.5146,40.9706
161,47.5146,40.6513
161.25,47.4679,40.6513
161.5,47.4214,40.6513
161.75,47.3749,40.6324
162,47.3285,40.6324
162,47.3285,40.6324
162,47.3285,40.6324
162.25,47.4907,40.5327
162.5,47.6511,40.4269
162.75,47.8089,40.4269
163,47.9647,40.4269
163,47.9647,40.9198
163,47.9647,41.455
163.25,48.0211,41.455
163.5,48.0772,41.455
163.75,48.1338,41.4873
164,48.1908,41.4873
164,48.1908,41.4873
164,48.1908,41.4873
164.25,48.2113,41.69
164.5,48.2323,41.9065
164.75,48.254,41.9065
165,48.276,41.9065
165,48.276,42.0216
165,48.276,42.1304
165.25,48.3108,42.1304
165.5,48.3456,42.1304
165.75,48.3804,41.7292
166,48.415,41.2982
166,48.415,41.2982
166,48.415,41.2982
166.25,48.4623,40.7702
166.5,48.5093,40.2408
166.75,48.5562,40.2408
167,48.6028,40.2408
167,48.6028,40.6073
167,48.6028,41.0328
167.25,48.3425,41.0328
167.5,48.0849,41.0328
167.75,47.8313,41.664
168,47.5805,42.3152
168,47.5805,42.3152
