,time,heat_prod
2491,24910.0,3.8000000000000025
2492,24920.0,3.8000000000000025
2493,24930.0,3.8000000000000025
2494,24940.0,3.8000000000000025
2495,24950.0,3.8000000000000025
2496,24960.0,3.8000000000000025
2497,24970.0,3.8000000000000025
2498,24980.0,3.8000000000000025
2499,24990.0,3.8000000000000025
2500,25000.0,3.8000000000000025
2501,25010.0,3.8000000000000025
2502,25020.0,3.8000000000000025
2503,25030.0,3.8000000000000025
2504,25040.0,3.8000000000000025
2505,25050.0,3.8000000000000025
2506,25060.0,3.8000000000000025
2507,25070.0,3.8000000000000025
2508,25080.0,3.8000000000000025
2509,25090.0,3.8000000000000025
2510,25100.0,3.8000000000000025
2511,25110.0,3.8000000000000025
2512,25120.0,3.8000000000000025
2513,25130.0,3.8000000000000025
2514,25140.0,3.8000000000000025
2515,25150.0,3.8000000000000025
2516,25160.0,3.8000000000000025
2517,25170.0,3.8000000000000025
2518,25180.0,3.8000000000000025
2519,25190.0,3.8000000000000025
2520,25200.0,3.5716208157502067
2521,25210.0,3.599012502419788
2522,25220.0,3.623971130903455
2523,25230.0,3.6467128168499974
2524,25240.0,3.6674344795018383
2525,25250.0,3.686315546809953
2526,25260.0,3.7035195090924833
2527,25270.0,3.719195334690091
2528,25280.0,3.7334787598761703
2529,25290.0,3.746493464191165
2530,25300.0,3.7583521413781913
2531,25310.0,3.7691574751931185
2532,25320.0,3.779003028538626
2533,25330.0,3.787974053621193
2534,25340.0,3.7961482301461498
2535,25350.0,3.8035963379427704
2536,25360.0,3.810382869843656
2537,25370.0,3.816566590125286
2538,25380.0,3.8222010433452662
2539,25390.0,3.82733501798226
2540,25400.0,3.832012968893241
2541,25410.0,3.8362754022461196
2542,25420.0,3.840159226260835
2543,25430.0,3.8436980707959867
2544,25440.0,3.8469225785482744
2545,25450.0,3.8498606703862412
2546,25460.0,3.852537787115828
2547,25470.0,3.8549771097711703
2548,25480.0,3.857199760338144
2549,25490.0,3.8592249846486895
2550,25500.0,3.861070319029618
2551,25510.0,3.862751742148877
2552,25520.0,3.8642838133741235
2553,25530.0,3.8656797988416374
2554,25540.0,3.866951786327205
2555,25550.0,3.868110789913626
2556,25560.0,3.869166845361165
2557,25570.0,3.8701290970067546
2558,25580.0,3.871005876944397
2559,25590.0,3.8718047771723936
2560,25600.0,3.8725327153321225
2561,25610.0,3.873195994607578
2562,25620.0,3.873800358304372
2563,25630.0,3.8743510395807483
2564,25640.0,3.8748528067612704
2565,25650.0,3.875310004625536
2566,25660.0,3.8757265920294226
2567,25670.0,3.876106176184644
2568,25680.0,3.87645204389344
2569,25690.0,3.8767671900088456
2570,25700.0,3.877054343366993
2571,25710.0,3.8773159904159775
2572,25720.0,3.877554396745907
2573,25730.0,3.8777716267065396
2574,25740.0,3.8779695612823954
2575,25750.0,3.878149914380124
2576,25760.0,3.87831424766914
2577,25770.0,3.8784639841040476
2578,25780.0,3.878600420245947
2579,25790.0,3.8787247374892964
2580,25800.0,3.8788380122915487
2581,25810.0,3.8789412254941555
2582,25820.0,3.8790352708156264
2583,25830.0,3.8791209625901986
2584,25840.0,3.879199042819118
2585,25850.0,3.879270187595598
2586,25860.0,3.8793350129590785
2587,25870.0,3.8793940802294866
2588,25880.0,3.8794479008676763
2589,25890.0,3.8794969409041493
2590,25900.0,3.8795416249743897
2591,25910.0,3.8795823399957663
2592,25920.0,3.8796194385178278
2593,25930.0,3.879653241775021
2594,25940.0,3.8796840424682384
2595,25950.0,3.879712107299307
2596,25960.0,3.8797376792803435
2597,25970.0,3.879760979837991
2598,25980.0,3.8797822107307343
2599,25990.0,3.8798015557959284
2600,26000.0,3.8798191825416266
2601,26010.0,3.879835243597032
2602,26020.0,3.879849878034107
2603,26030.0,3.879863212571786
2604,26040.0,3.879875362673237
2605,26050.0,3.8798864335456447
2606,26060.0,3.8798965210511978
2607,26070.0,3.8799057125371585
2608,26080.0,3.879914087592191
2609,26090.0,3.879921718735524
2610,26100.0,3.879928672044885
2611,26110.0,3.87993500772867
2612,26120.0,3.8799407806472814
2613,26130.0,3.8799460407881643
2614,26140.0,3.8799508336986426
2615,26150.0,3.879955200880315
2616,26160.0,3.8799591801484112
2617,26170.0,3.879962805959237
2618,26180.0,3.8799661097085254
2619,26190.0,3.879969120003295
2620,26200.0,3.8799718629095516
2621,26210.0,3.8799743621780007
2622,26220.0,3.8799766394496937
2623,26230.0,3.879978714443426
2624,26240.0,3.8799806051264745
2625,26250.0,3.87998232787018
2626,26260.0,3.8799838975917034
2627,26270.0,3.879985327883193
2628,26280.0,3.8799866311294777
2629,26290.0,3.8799878186153105
2630,26300.0,3.879988900623078
2631,26310.0,3.879989886521836
2632,26320.0,3.8799907848484385
2633,26330.0,3.8799916033814563
2634,26340.0,3.8799923492085284
2635,26350.0,3.87999302878774
2636,26360.0,3.8799936480035355
2637,26370.0,3.8799942122176776
2638,26380.0,3.8799947263156707
2639,26390.0,3.879995194749067
2640,26400.0,3.879995621574011
2641,26410.0,3.8799960104863596
2642,26420.0,3.8799963648536884
2643,26430.0,3.8799966877444474
2644,26440.0,3.8799969819545326
2645,26450.0,3.879997250031498
2646,26460.0,3.879997494296609
2647,26470.0,3.8799977168649455
2648,26480.0,3.879997919663718
2649,26490.0,3.8799981044489513
2650,26500.0,3.8799982728206936
2651,26510.0,3.879998426236867
